nlc,station,note,entry_weekday,entry_saturday,entry_sunday,exit_weekday,exit_saturday,exit_sunday,annual_entry_exit_million,borough,year,total_weekday,total_weekend
774,Edgware Road (Bak)                 , ,6413.0,4736.0,3117.0,6364.0,4480.0,2822.0,4.062214,,2011,12777.0,15155.0
569,Edgware Road (Cir)                 , ,10081.0,4774.0,3876.0,9676.0,4777.0,3614.0,5.937083,,2011,19757.0,17041.0
570,Elephant & Castle                  , ,29273.0,18394.0,13115.0,27137.0,18155.0,13073.0,17.71737,,2011,56410.0,62737.0
571,Elm Park                           , ,4294.0,2103.0,1129.0,4014.0,1952.0,1086.0,2.443469,,2011,8308.0,6270.0
542,Embankment                         , ,30157.0,24942.0,16127.0,30006.0,26586.0,15894.0,19.789934,,2011,60163.0,83549.0
572,Epping                             , ,5270.0,3628.0,2390.0,4405.0,3579.0,2230.0,3.095119,,2011,9675.0,11827.0
574,Euston                             , ,53204.0,40245.0,33274.0,54803.0,40620.0,31028.0,35.324569,,2011,108007.0,145167.0
575,Euston Square                      , ,18929.0,6010.0,4145.0,19795.0,5874.0,3832.0,10.885783,,2011,38724.0,19861.0
576,Fairlop                            , ,1582.0,864.0,484.0,1478.0,853.0,514.0,0.922346,,2011,3060.0,2715.0
577,Farringdon                         , ,36492.0,6375.0,3251.0,34785.0,6043.0,2605.0,19.024321,,2011,71277.0,18274.0
578,Finchley Central                   , ,9071.0,6462.0,3264.0,8677.0,5333.0,3356.0,5.494164,,2011,17748.0,18415.0
579,Finchley Road                      , ,14799.0,9631.0,6880.0,13749.0,8856.0,6559.0,8.976869,,2011,28548.0,31926.0
580,Finsbury Park                      ,A,38555.0,36015.0,20860.0,34792.0,28551.0,19385.0,24.288678,,2011,73347.0,104811.0
581,Fulham Broadway                    , ,15306.0,10491.0,6783.0,15126.0,10597.0,6217.0,9.562872,,2011,30432.0,34088.0
582,Gants Hill                         , ,8990.0,5692.0,3823.0,8565.0,5553.0,3834.0,5.477918,,2011,17555.0,18902.0
583,Gloucester Road                    , ,22323.0,16476.0,12603.0,21373.0,16053.0,11394.0,14.162419,,2011,43696.0,56526.0
584,Golders Green                      , ,12242.0,9173.0,6945.0,11825.0,8350.0,6791.0,7.810571,,2011,24067.0,31259.0
585,Goldhawk Road                      , ,2731.0,1498.0,891.0,2611.0,1308.0,917.0,1.60411,,2011,5342.0,4614.0
586,Goodge Street                      , ,18104.0,8129.0,4677.0,18105.0,9142.0,4774.0,10.616578,,2011,36209.0,26722.0
587,Grange Hill                        , ,902.0,405.0,226.0,770.0,348.0,215.0,0.488191,,2011,1672.0,1194.0
588,Great Portland Street              , ,13175.0,3809.0,2705.0,12569.0,3282.0,2114.0,7.166285,,2011,25744.0,11910.0
590,Green Park                         , ,48693.0,28229.0,18835.0,54351.0,34000.0,22149.0,31.724096,,2011,103044.0,103213.0
589,Greenford                          , ,6477.0,4445.0,2651.0,6206.0,3955.0,2474.0,3.947974,,2011,12683.0,13525.0
591,Gunnersbury                        , ,8319.0,3310.0,2004.0,6907.0,2779.0,1805.0,4.393537,,2011,15226.0,9898.0
592,Hainault                           , ,4976.0,2855.0,1786.0,4720.0,2651.0,1775.0,2.949499,,2011,9696.0,9067.0
593,Hammersmith (Dis)                  , ,46718.0,33264.0,21791.0,44372.0,31209.0,21308.0,28.941207,,2011,91090.0,107572.0
773,Hammersmith (H&C)                  , ,15230.0,8757.0,6142.0,13701.0,8517.0,5239.0,8.88927,,2011,28931.0,28655.0
594,Hampstead                          , ,6446.0,5221.0,3922.0,6545.0,5242.0,4252.0,4.313065,,2011,12991.0,18637.0
595,Hanger Lane                        , ,5698.0,3554.0,2405.0,5124.0,3251.0,2180.0,3.362341,,2011,10822.0,11390.0
596,Harlesden                          , ,3800.0,2137.0,1331.0,3731.0,2084.0,1301.0,2.280123,,2011,7531.0,6853.0
597,Harrow & Wealdstone                , ,7494.0,4684.0,3026.0,6959.0,4209.0,2901.0,4.468738,,2011,14453.0,14820.0
598,Harrow-on-the-Hill                 , ,13833.0,8918.0,5554.0,14543.0,8750.0,5492.0,8.749578,,2011,28376.0,28714.0
779,Hatton Cross                       , ,4646.0,3419.0,2653.0,4381.0,3224.0,2433.0,2.929341,,2011,9027.0,11729.0
780,Heathrow Terminals 123             , ,11261.0,12379.0,12053.0,9618.0,9945.0,9600.0,7.720762,,2011,20879.0,43977.0
781,Heathrow Terminal 4                , ,3492.0,4047.0,4247.0,3012.0,3328.0,3047.0,2.459358,,2011,6504.0,14669.0
783,Heathrow Terminal 5                , ,4698.0,4535.0,5479.0,4144.0,3810.0,3676.0,3.211111,,2011,8842.0,17500.0
601,Hendon Central                     , ,11932.0,6889.0,4906.0,11065.0,5677.0,4286.0,7.014001,,2011,22997.0,21758.0
602,High Barnet                        , ,5279.0,3611.0,1855.0,4930.0,3099.0,1699.0,3.141483,,2011,10209.0,10264.0
605,High Street Kensington             , ,18689.0,12336.0,9326.0,19255.0,12941.0,8976.0,11.994054,,2011,37944.0,43579.0
603,Highbury & Islington               , ,25120.0,21451.0,11357.0,24801.0,22198.0,11668.0,16.258236,,2011,49921.0,66674.0
604,Highgate                           , ,8248.0,5524.0,3450.0,7729.0,4773.0,3373.0,4.980182,,2011,15977.0,17120.0
606,Hillingdon                         , ,2418.0,1376.0,827.0,2188.0,1270.0,819.0,1.400024,,2011,4606.0,4292.0
607,Holborn                            , ,51012.0,28625.0,16956.0,55164.0,31070.0,17194.0,31.981518,,2011,106176.0,93845.0
608,Holland Park                       , ,5565.0,3608.0,2517.0,5164.0,3403.0,2404.0,3.369348,,2011,10729.0,11932.0
609,Holloway Road                      , ,12946.0,9617.0,4869.0,12646.0,9792.0,4723.0,8.049972,,2011,25592.0,29001.0
610,Hornchurch                         , ,3320.0,1715.0,844.0,3366.0,1822.0,879.0,1.977139,,2011,6686.0,5260.0
611,Hounslow Central                   , ,6251.0,4184.0,3302.0,5960.0,4094.0,3213.0,3.904224,,2011,12211.0,14793.0
612,Hounslow East                      , ,6437.0,5042.0,3818.0,6681.0,4740.0,3667.0,4.269133,,2011,13118.0,17267.0
613,Hounslow West                      , ,5015.0,3848.0,3111.0,4601.0,3626.0,2960.0,3.179685,,2011,9616.0,13545.0
614,Hyde Park Corner                   , ,8184.0,8405.0,7099.0,8887.0,8891.0,7325.0,6.069371,,2011,17071.0,31720.0
615,Ickenham                           , ,1672.0,849.0,442.0,1653.0,838.0,464.0,0.982403,,2011,3325.0,2593.0
616,Kennington                         , ,7120.0,6023.0,3877.0,6579.0,5468.0,3786.0,4.515496,,2011,13699.0,19154.0
617,Kensal Green                       , ,3924.0,2899.0,1973.0,3292.0,2361.0,1756.0,2.319179,,2011,7216.0,8989.0
618,Kensington (Olympia)               , ,1433.0,6099.0,3535.0,1403.0,5527.0,3512.0,1.737833,,2011,2836.0,18673.0
619,Kentish Town                       , ,12078.0,7821.0,4389.0,11532.0,6696.0,3855.0,7.21461,,2011,23610.0,22761.0
620,Kenton                             , ,3192.0,2179.0,1307.0,3011.0,2013.0,1316.0,1.9421,,2011,6203.0,6815.0
621,Kew Gardens                        , ,5015.0,4172.0,2556.0,4616.0,3393.0,2551.0,3.131336,,2011,9631.0,12672.0
622,Kilburn                            , ,11954.0,8841.0,6180.0,11472.0,7979.0,6024.0,7.521454,,2011,23426.0,29024.0
623,Kilburn Park                       , ,5331.0,4526.0,3111.0,5130.0,4163.0,2945.0,3.455765,,2011,10461.0,14745.0
625,King's Cross St. Pancras           , ,116766.0,94473.0,74618.0,116203.0,90893.0,69961.0,77.11035,,2011,232969.0,329945.0
624,Kingsbury                          , ,5822.0,3186.0,2281.0,5506.0,2897.0,2122.0,3.442077,,2011,11328.0,10486.0
626,Knightsbridge                      , ,29626.0,33458.0,22591.0,29001.0,31720.0,19398.0,20.699238,,2011,58627.0,107167.0
627,Ladbroke Grove                     , ,8405.0,7607.0,3608.0,7722.0,4748.0,2609.0,5.089394,,2011,16127.0,18572.0
628,Lambeth North                      , ,5494.0,4551.0,3302.0,5034.0,4370.0,2973.0,3.497701,,2011,10528.0,15196.0
629,Lancaster Gate                     , ,10308.0,8195.0,6493.0,9842.0,7853.0,6136.0,6.677557,,2011,20150.0,28677.0
630,Latimer Road                       , ,2878.0,1607.0,956.0,2800.0,1450.0,861.0,1.702701,,2011,5678.0,4874.0
631,Leicester Square                   , ,53002.0,67564.0,37470.0,54956.0,68479.0,36972.0,38.779688,,2011,107958.0,210485.0
632,Leyton                             , ,20552.0,17779.0,12078.0,19477.0,16050.0,11701.0,13.289406,,2011,40029.0,57608.0
633,Leytonstone                        , ,16496.0,12726.0,8520.0,15883.0,11624.0,8340.0,10.452827,,2011,32379.0,41210.0
634,Liverpool Street                   , ,104252.0,50855.0,41623.0,107346.0,50869.0,40095.0,63.645304,,2011,211598.0,183442.0
635,London Bridge                      , ,103067.0,78259.0,50067.0,101013.0,74978.0,48979.0,65.444278,,2011,204080.0,252283.0
636,Loughton                           , ,4851.0,3125.0,1585.0,5000.0,3014.0,1603.0,2.999623,,2011,9851.0,9327.0
637,Maida Vale                         , ,4961.0,3564.0,2373.0,4448.0,2988.0,2251.0,2.993997,,2011,9409.0,11176.0
638,Manor House                        , ,14602.0,11643.0,8681.0,13471.0,9916.0,8107.0,9.214029,,2011,28073.0,38347.0
639,Mansion House                      , ,13164.0,4243.0,2862.0,13204.0,3840.0,2643.0,7.416215,,2011,26368.0,13588.0
640,Marble Arch                        , ,25632.0,25303.0,18234.0,23325.0,22376.0,15794.0,16.873081,,2011,48957.0,81707.0
641,Marylebone                         , ,18528.0,11320.0,6492.0,18849.0,11315.0,6519.0,11.40105,,2011,37377.0,35646.0
642,Mile End                           , ,22712.0,17821.0,11668.0,20564.0,15145.0,11243.0,14.014809,,2011,43276.0,55877.0
643,Mill Hill East                     ,A,1642.0,984.0,600.0,1930.0,1147.0,684.0,1.090284,,2011,3572.0,3415.0
646,Moor Park                          , ,1481.0,567.0,317.0,1395.0,560.0,331.0,0.824464,,2011,2876.0,1775.0
645,Moorgate                           , ,39161.0,5869.0,3617.0,40454.0,6338.0,4009.0,21.227293,,2011,79615.0,19833.0
647,Morden                             , ,11917.0,7702.0,5264.0,11065.0,7068.0,5119.0,7.195083,,2011,22982.0,25153.0
648,Mornington Crescent                , ,6714.0,3897.0,10568.0,5889.0,3222.0,2032.0,4.302147,,2011,12603.0,19719.0
649,Neasden                            , ,4645.0,2612.0,1812.0,4159.0,2466.0,1747.0,2.701449,,2011,8804.0,8637.0
